English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
I am Antoine.,I am from France.,I am a doctor in a large hospital.,Ben büyük bir hastanede doktorum.,Jag är läkare på ett stort sjukhus.,من در یک بیمارستان بزرگ پزشک هستم.,
I am a man.,I live in New York.,I live in a small apartment in London.,Londra'da küçük bir dairede yaşıyorum.,Jag bor i en liten lägenhet i London.,من در یک آپارتمان کوچک در لندن زندگی می‌کنم.,
I am twenty years old.,You are my colleague.,You are a very kind person.,Çok nazik bir insansınız.,Du är en mycket snäll person.,,
I am from France.,You work in a nearby office.,Do you work in a school?,Bir okulda mı çalışıyorsun?,Arbetar du i en skola?,,
I am French.,He is my brother.,He is my younger brother.,O benim küçük erkek kardeşimdir.,Han är min yngre bror.,,
I am in New York.,He lives with his family.,He lives with our parents.,"O, anne babamızla birlikte yaşıyor.",Han bor med våra föräldrar.,,
I am happy today.,She is my sister.,She is a talented artist.,O yetenekli bir sanatçı.,Hon är en talangfull konstnär.,,
I am calm right now.,She works at a hospital.,Does she work in a studio?,Bir stüdyoda mı çalışıyor?,Arbetar hon i en studio?,,
I am at home.,We are friends.,We are from a small town.,Küçük bir kasabadanız.,Vi är från en liten stad.,,
I am at work.,We live in the same neighborhood.,We live near the park.,Parkın yakınında oturuyoruz.,Vi bor nära parken.,,
I am with my family.,They are my parents.,They are very busy today.,Onlar bugün çok meşgul.,De är väldigt upptagna idag.,,
I am with my friends.,They work together.,Do they work in an office?,Onlar bir ofiste mi çalışıyorlar?,Arbetar de på ett kontor?,,
I am a student.,I am not new here.,I am a student at the university.,Üniversitede öğrenciyim.,Jag är en student på universitetet.,,
I am a worker.,I work in an international team.,I live in a college dormitory.,Bir üniversite yurdunda yaşıyorum.,Jag bor i ett studenthem.,,
I am a visitor here.,You are from Canada.,You are a good friend.,İyi bir arkadaşsın.,Du är en bra vän.,,
I am ready to start.,You live near the park.,Do you live in this city?,Bu şehirde mi yaşıyorsunuz?,Bor du i den här staden?,,
I am tired today.,He is thirty years old.,He is an engineer.,O bir mühendis.,Han är ingenjör.,,
I am excited now.,He does not work on Sundays.,Does he work at the factory.,Fabrikada çalışıyor mu?,Arbetar han på fabriken?,,
I am not late.,She is calm at home.,She is my older sister.,O benim ablam.,Hon är min storasyster.,,
I am early today.,She lives alone.,She lives in New York.,New York'ta yaşıyor.,Hon bor i New York.,,
I have a name.,We are ready today.,We are very happy.,Çok mutluyuz.,Vi är väldigt glada.,,
I have a family.,We work during the week.,Do we live in a safe neighborhood?,Güvenli bir mahallede yaşıyor muyuz?,Bor vi i ett tryggt område?,,
I have a mother.,They are not at home now.,They are teachers.,Onlar öğretmenler.,De är lärare.,,
I have a father.,They live in another city.,Do they work at the university?,Üniversitede mi çalışıyorlar?,Arbetar de på universitetet?,,
I have one brother.,I am happy at work.,I am twenty years old.,Yirmi yaşındayım.,Jag är tjugo år gammal.,,
I have one sister.,I live close to my office.,How are are you?,,Hur mår du?,,
I have two parents.,You are busy today.,You are tall.,Sen uzunsun.,Du är lång.,,
I have a small family.,You do not work at night.,My name is Sara.,Benim adım Sara.,Jag heter Sara.,,
I have a big family.,He is at home now.,He is a chef.,O bir şeftir.,Han är kock.,,
I have a job.,He works from home today.,He works in a famous restaurant.,Ünlü bir restoranda çalışıyor.,Han arbetar i en berömd restaurang.,,
I have a house.,She is friendly with everyone.,She is a lawyer.,O bir avukat.,Hon är advokat.,,
I have an apartment.,She lives near her job.,Where does she work?,,Var arbetar hon?,,
I have a phone.,We are from Europe.,We are tired.,Yorgunuz.,Vi är trötta.,,
I have a computer.,We do not live far away.,We live far from the office.,Ofisten uzakta yaşıyoruz.,Vi bor långt från kontoret.,,
I have a bag.,They are tired today.,They are neighbors.,Onlar komşu.,De är grannar.,,
I have a passport.,They work long hours.,They live in the same building.,Aynı binada yaşıyorlar.,De bor i samma byggnad.,,
