Order,Tier,Topic,English,Turkish,Swedish,Farsi,Hindi,Is New
1,Foundation,1. Survival Phrases,Hello.,,,,,NEW
2,Foundation,1. Survival Phrases,Hi.,,,,,NEW
3,Foundation,1. Survival Phrases,Good morning.,,,,,NEW
4,Foundation,1. Survival Phrases,Good afternoon.,,,,,NEW
5,Foundation,1. Survival Phrases,Good evening.,,,,,NEW
6,Foundation,1. Survival Phrases,Good night.,,,,,NEW
7,Foundation,1. Survival Phrases,Goodbye.,,,,,NEW
8,Foundation,1. Survival Phrases,See you later.,,,,,NEW
9,Foundation,1. Survival Phrases,Yes.,,,,,NEW
10,Foundation,1. Survival Phrases,No.,,,,,NEW
11,Foundation,1. Survival Phrases,Please.,,,,,NEW
12,Foundation,1. Survival Phrases,Thank you.,,,,,NEW
13,Foundation,1. Survival Phrases,You are welcome.,,,,,NEW
14,Foundation,1. Survival Phrases,Sorry.,,,,,NEW
15,Foundation,1. Survival Phrases,Excuse me.,,,,,NEW
16,Foundation,1. Survival Phrases,How are you?,,,,,NEW
17,Foundation,1. Survival Phrases,I am fine.,,,,,NEW
18,Foundation,1. Survival Phrases,Nice to meet you.,,,,,NEW
19,Foundation,1. Survival Phrases,What is your name?,,,,,NEW
20,Foundation,1. Survival Phrases,My name is Sara.,,,,,NEW
21,Foundation,1. Survival Phrases,I do not understand.,,,,,NEW
22,Foundation,1. Survival Phrases,Can you repeat that?,,,,,NEW
23,Foundation,1. Survival Phrases,I do not speak Turkish.,,,,,NEW
24,Foundation,1. Survival Phrases,Do you speak English?,,,,,NEW
25,Foundation,1. Survival Phrases,How do you say this?,,,,,NEW
26,Foundation,1. Survival Phrases,One.,,,,,NEW
27,Foundation,1. Survival Phrases,Two.,,,,,NEW
28,Foundation,1. Survival Phrases,Three.,,,,,NEW
29,Foundation,1. Survival Phrases,Four.,,,,,NEW
30,Foundation,1. Survival Phrases,Five.,,,,,NEW
31,Foundation,1. Survival Phrases,Six.,,,,,NEW
32,Foundation,1. Survival Phrases,Seven.,,,,,NEW
33,Foundation,1. Survival Phrases,Eight.,,,,,NEW
34,Foundation,1. Survival Phrases,Nine.,,,,,NEW
35,Foundation,1. Survival Phrases,Ten.,,,,,NEW
36,Novice,2. About Me,I am a doctor in a large hospital.,Ben büyük bir hastanede doktorum.,Jag är läkare på ett stort sjukhus.,من در یک بیمارستان بزرگ پزشک هستم.,,
37,Novice,2. About Me,I live in a small apartment in London.,Londra'da küçük bir dairede yaşıyorum.,Jag bor i en liten lägenhet i London.,من در یک آپارتمان کوچک در لندن زندگی می‌کنم.,,
38,Novice,2. About Me,I am a student at the university.,Üniversitede öğrenciyim.,Jag är en student på universitetet.,,,
39,Novice,2. About Me,I live in a college dormitory.,Bir üniversite yurdunda yaşıyorum.,Jag bor i ett studenthem.,,,
40,Novice,2. About Me,I am twenty years old.,Yirmi yaşındayım.,Jag är tjugo år gammal.,,,
41,Novice,2. About Me,My name is Sara.,Benim adım Sara.,Jag heter Sara.,,,
42,Novice,2. About Me,I am hungry.,Açım.,Jag är hungrig.,,,
43,Novice,2. About Me,I live near a grocery store.,Bir bakkalın yakınında yaşıyorum.,Jag bor nära en matbutik.,,,
44,Novice,2. About Me,I am a writer.,Ben bir yazarım.,Jag är en författare.,,,
45,Novice,2. About Me,I am not well this evening.,Bu akşam iyi değilim.,Jag mår inte bra ikväll.,,,
46,Novice,2. About Me,I am hungry after work.,İşten sonra acıktım.,Jag är hungrig efter jobbet.,,,
47,Novice,2. About Me,I am full after the meal.,Yemekten sonra doydum.,Jag är mätt efter maten.,,,
