id,rating,target,english,primary_issue,proposed_target
hi-3171,1,शौचालय कहाँ है?,Where is the toilet?,शौचालय nobody says this,टॉयलेट कहाँ है?
hi-0028,2,यह मेरी धर्मपत्नी श्रीमती शर्मा हैं।,This is my wife Mrs. Sharma.,धर्मपत्नी archaic Sanskrit + ceremonious framing,यह मेरी पत्नी है।
hi-0215,2,सूक्ष्म उद्यम ग्रामीण अर्थव्यवस्था की रीढ़ हैं।,Micro enterprises are the backbone of the rural economy.,bureaucratic Sanskrit + textbook metaphor,छोटे कारोबार गाँव की अर्थव्यवस्था का आधार हैं।
hi-0436,2,इस विद्यालय की स्थापना उन्नीस सौ पचास में हुई थी।,School established in 1950.,विद्यालय + passive Sanskrit construction,इस स्कूल को १९५० में खोला गया था।
hi-0483,2,संगणक की गति को मेगाहर्ट्ज़ में मापा जाता है।,Computer speed measured in megahertz.,संगणक pure archaism — कंप्यूटर,कंप्यूटर की गति को मेगाहर्ट्ज़ में मापा जाता है।
hi-0623,2,दंत चिकित्सक ने दाँत में भराव किया।,Dentist filled tooth.,दंत चिकित्सक pure Sanskrit — डेंटिस्ट,डेंटिस्ट ने दाँत में भर दिया।
hi-0648,2,छत की ढलाई में कंकरीट डाली गई।,Concrete poured into roof slab.,passive Sanskrit + ढलाई formal,छत की कास्टिंग में कंक्रीट डाल दी।
hi-0680,2,पर्यावरण की रक्षा हमारा दायित्व है।,Environment protection our duty.,पर्यावरण + दायित्व Sanskrit formal,एनवायरनमेंट की रक्षा हमारी ज़िम्मेदारी है।
hi-1810,2,कर चुकाना हर नागरिक की ज़िम्मेदारी है।,Paying taxes citizen's duty.,कर + नागरिक legal Sanskrit,टैक्स देना हर आदमी की ज़िम्मेदारी है।
hi-2282,2,मशालची ने हवेली में रोशनी की।,Torchbearer lit mansion.,Mughal-era archaic vocab,
hi-2284,2,सूबेदार ने सूबे का प्रशासन सँभाला।,Governor administered province.,Mughal-era archaic,
hi-2295,2,राजा ने दरबार में फ़रमान जारी किया।,King issued decree.,all Mughal-era terms,
hi-2388,2,जागीरदार ने गाँव वालों को ज़मीन बाँटी।,Landlord distributed land.,जागीरदार feudal-era term,
hi-2732,2,दूरभाष का आविष्कार संचार में मील का पत्थर था।,Telephone invention milestone.,दूरभाष pure archaism,टेलीफोन का आविष्कार संचार में बहुत बड़ा कदम था।
hi-0157,3,न्याय पाना हर नागरिक का अधिकार है।,Getting justice is every citizen's right.,civics-textbook framing,हर किसी को सही फ़ैसला पाने का हक है।
hi-0522,3,सुप्रभात! आज का दिन अच्छा रहे।,Good morning! May today be good.,सुप्रभात textbook greeting,
hi-0529,3,"शुभ प्रभात, आज मौसम बहुत अच्छा है।","Good morning, weather is nice.",शुभ प्रभात textbook greeting,
hi-0542,3,यह नई सड़क चालीस किलोमीटर लंबी बनाई गई है।,Road 40km long built.,बनाई गई passive Sanskrit,यह नई सड़क चालीस किलोमीटर की है।
hi-0649,3,गद्य में वाक्य विन्यास का ध्यान रखो।,Sentence structure in prose.,वाक्य विन्यास textbook Sanskrit,गद्य में sentence का order सही रखो।
hi-0657,3,ऊँटनी का दूध राजस्थान में पीया जाता है।,Camel milk drunk in Rajasthan.,passive Sanskrit,राजस्थान में लोग ऊँटनी का दूध पीते हैं।
hi-0682,3,नौटंकी लोक नाट्य की विधा है।,Nautanki is folk theater form.,लोक नाट्य + विधा textbook,
hi-0691,3,स्तंभ पर उकेरी गई नक्काशी बारीक है।,Carving on pillar is intricate.,passive + स्तंभ Sanskrit,खंभे पर की गई नक्काशी बहुत बारीक है।
hi-0693,3,जीवाश्म से प्राचीन जीवों की जानकारी मिलती है।,Fossils give info about ancient creatures.,जीवाश्म + प्राचीन जीव Sanskrit,
hi-0907,3,सेनापति ने सैनिकों को प्रोत्साहित किया।,Commander encouraged soldiers.,सेनापति + प्रोत्साहित archaic Sanskrit,कमांडर ने सैनिकों को हिम्मत दी।
hi-0909,3,परोपकार से बड़ा कोई धर्म नहीं।,No greater virtue than altruism.,परोपकार high Sanskrit,दूसरों की मदद करने से बड़ा कोई धर्म नहीं।
hi-1063,3,समाज कल्याण नीतियों का मूल्यांकन निष्पक्ष होना चाहिए।,Evaluation of welfare policies unbiased.,news/government Sanskrit,
hi-1066,3,संदर्भ-सूची में सभी उद्धृत स्रोतों का विवरण होना चाहिए।,Bibliography should contain citations.,संदर्भ-सूची + उद्धृत formal,
hi-1100,3,मुझे अपने मातृभूमि की बहुत याद आती है।,I miss my homeland.,मातृभूमि poetic Sanskrit,मुझे अपना देश बहुत याद आता है।
hi-1147,3,कृतघ्न शिष्य ने गुरु का अपमान किया।,Ungrateful disciple insulted teacher.,heavy Sanskrit purist vocab,
hi-1184,3,उल्कापिंड वायुमंडल में जलकर टूट जाता है।,Meteoroid burns in atmosphere.,उल्कापिंड + वायुमंडल Sanskrit,आकाश से गिरा तारा जलकर टूट जाता है।
hi-1258,3,गोधूलि की बेला में गाँव शांत हो जाता है।,Village quiet in twilight.,गोधूलि + बेला poetic Sanskrit,शाम को गाँव शांत हो जाता है।
hi-1373,3,हवाई जहाज़ रेलगाड़ी से तेज़ चलता है।,Airplane faster than train.,रेलगाड़ी → ट्रेन,
hi-1543,3,पिताजी हर सप्ताहांत हमें पार्क ले जाते थे।,Father took us to park every weekend.,सप्ताहांत → वीकेंड,
hi-1558,3,भूमिगत सुरंग में रेलगाड़ी दौड़ती है।,Train runs in underground tunnel.,रेलगाड़ी → ट्रेन,
hi-1726,3,यह जगह पर्यटकों के लिए बहुत अनुकूल है।,Favorable for tourists.,अनुकूल formal,यह जगह पर्यटकों के लिए बहुत अच्छी है।
hi-2230,3,इस मार्ग पर भारी वाहनों का प्रवेश वर्जित किया गया है।,Heavy vehicles prohibited.,वर्जित + passive Sanskrit,इस रास्ते पर भारी गाड़ियों को जाने से मना है।
hi-2417,3,कमंडल में पानी लेकर साधु चले।,Sage walked with water in kamandal.,religious archaic,
hi-2425,3,अख़बार की सुर्ख़ियाँ मंगलवार को पढ़ी जाती हैं।,Newspaper headlines read daily.,Eng/Hindi mismatch + passive,
hi-2437,3,"यद्यपि वह बीमार था, तथापि उसने काम पूरा किया।","Although sick, completed work.",यद्यपि...तथापि pure Sanskrit,"हालाँकि वह बीमार था, फिर भी उसने काम पूरा कर दिया।"
hi-2479,3,"यद्यपि ज़मीन ऊसर थी, तथापि किसान ने बोआई की।","Although barren, farmer sowed.",यद्यपि...तथापि pure Sanskrit,"हालाँकि ज़मीन बंजर थी, फिर भी किसान ने बीज बोया।"
hi-2496,3,भिश्ती ने मशक से पानी छिड़का।,Bhishti sprinkled water.,all archaic historical,
hi-2534,3,ऋषि ने तपोवन में कठोर तपस्या की।,Sage performed penance.,religious archaic register,
hi-0049,4,मेरी प्यारी बेटी पास के विद्यालय में पढ़ती है।,My dear daughter studies at a nearby school.,प्यारी sentimental + विद्यालय textbook,मेरी बेटी पास के स्कूल में पढ़ती है।
hi-0166,4,बड़े शहर में यातायात बहुत अधिक होता है।,lot of traffic in a big city,यातायात Sanskrit-coined — ट्रैफिक,बड़े शहर में ट्रैफिक बहुत ज़्यादा होता है।
hi-0213,4,विद्युत धारा को एम्पियर में नापते हैं।,Electric current is measured in amperes.,विद्युत धारा scientific Sanskrit — बिजली,बिजली की धारा को एम्पियर में मापते हैं।
hi-0415,4,इस परीक्षा में कुल सौ प्रश्न पूछे गए।,Hundred questions in exam.,प्रश्न formal + passive,
hi-0537,4,कृपया मुझे एक ठंडा गिलास पानी दे दीजिए।,Please give me a cold glass of water.,कृपया + दे दीजिए over-formal,
hi-0710,4,राहुल ने नई दुकान का उद्घाटन किया।,Rahul inaugurated new shop.,उद्घाटन formal — opening/खोल दिया,राहुल ने नई दुकान खोल दी।
hi-0715,4,रसोइये ने आज बहुत स्वादिष्ट खाना बनाया।,Cook made tasty food.,रसोइये textbook — chef/कुक,
hi-0722,4,"प्रणाम गुरुजी, आपके दर्शन हुए।",Greetings teacher.,दर्शन हुए archaic,"नमस्ते गुरुजी, आप मिल गए!"
hi-0731,4,रसोइए ने शानदार दावत तैयार की।,Cook prepared feast.,रसोइए formal,
hi-0734,4,प्रधानाचार्य ने छात्रों को प्रमाणपत्र बाँटे।,Principal distributed certificates.,प्रधानाचार्य + प्रमाणपत्र Sanskrit,Principal ने छात्रों को certificates दिए।
hi-0738,4,संपादक ने लेख में सुधार किया।,Editor corrected article.,संपादक textbook — editor,Editor ने article में सुधार किया।
hi-0739,4,गायिका ने मंच पर गीत गाया।,Singer sang on stage.,गायिका textbook — singer,
hi-0743,4,चित्रकार ने दीवार पर भित्तिचित्र बनाया।,Painter made mural.,चित्रकार + भित्तिचित्र Sanskrit,
hi-0753,4,अध्यापक ने कठिन विषय आसानी से समझाया।,Teacher explained difficult topic.,अध्यापक → टीचर,Teacher ने मुश्किल topic को आसानी से समझाया।
hi-0761,4,तीर्थयात्री ने पवित्र नदी में स्नान किया।,Pilgrim bathed in holy river.,तीर्थयात्री + स्नान formal/religious,
hi-0762,4,भूस्खलन से पहाड़ी रास्ता बंद हो गया।,Landslide blocked road.,भूस्खलन Sanskrit — landslide,Landslide से पहाड़ी रास्ता बंद हो गया।
hi-0766,4,पत्रकार ने साक्षात्कार में कड़े सवाल पूछे।,Journalist asked tough questions in interview.,पत्रकार + साक्षात्कार Sanskrit,Journalist ने interview में कड़े सवाल पूछे।
hi-0795,4,बढ़ई ने मज़बूत अलमारी बनाई।,Carpenter made sturdy cupboard.,बढ़ई textbook — carpenter,
hi-0796,4,अभिनेत्री ने शानदार अभिनय किया।,Actress gave performance.,अभिनेत्री + अभिनय Sanskrit,Actress ने शानदार acting की।
hi-0804,4,शिल्पकार ने पत्थर से मूर्ति गढ़ी।,Sculptor carved statue.,शिल्पकार Sanskrit — sculptor,
hi-0805,4,मूर्तिकार ने संगमरमर से कलाकृति बनाई।,Sculptor made artwork from marble.,मूर्तिकार + कलाकृति Sanskrit,
hi-0826,4,रक्तचाप की जाँच नियमित करवाओ।,Get blood pressure checked regularly.,रक्तचाप → ब्लड प्रेशर,ब्लड प्रेशर की जाँच नियमित करवाओ।
