id,score,target,english,tags,offenders,suggested_replacements
hi-2181,2,विद्यालय में नया पुस्तकालय स्थापित किया गया है।,A new library has been established in the school.,general|travel|work,पुस्तकालय | विद्यालय,पुस्तकालय → लाइब्रेरी | विद्यालय → स्कूल
hi-1233,2,मेरे कार्यालय में बहुत मिलनसार सहकर्मी हैं।,There are very friendly colleagues in my office.,general|work,कार्यालय | सहकर्मी,कार्यालय → ऑफिस | सहकर्मी → कलीग
hi-0483,1,संगणक की गति को मेगाहर्ट्ज़ में मापा जाता है।,A computer's speed is measured in megahertz.,general|work,संगणक,संगणक → कंप्यूटर
hi-2437,1,"यद्यपि वह बीमार था, तथापि उसने काम पूरा किया।","Although he was sick, he still completed the work.",family|general|work,तथापि,तथापि → फिर भी
hi-2479,1,"यद्यपि ज़मीन ऊसर थी, तथापि किसान ने बोआई की।","Although the land was barren, the farmer still sowed.",general,तथापि,तथापि → फिर भी
hi-2732,1,दूरभाष का आविष्कार संचार में मील का पत्थर था।,The invention of the telephone was a milestone in communication.,general,दूरभाष,दूरभाष → फोन
hi-3171,1,शौचालय कहाँ है?,Where is the toilet?,general|travel,शौचालय,शौचालय → टॉयलेट
hi-2794,2,यदि सरकार ने समय पर क़दम नहीं उठाए तो स्थिति और ख़राब हो सकती है।,"If the government does not take steps on time, the situation can worsen.",general|travel|work,समय | यदि,समय → टाइम | यदि → अगर
hi-0049,1,मेरी प्यारी बेटी पास के विद्यालय में पढ़ती है।,My dear daughter studies at a nearby school.,family|general|work,विद्यालय,विद्यालय → स्कूल
hi-0166,1,बड़े शहर में यातायात बहुत अधिक होता है।,There is a lot of traffic in a big city.,general|travel,यातायात,यातायात → ट्रैफिक
hi-0202,1,हमारे स्कूल के सभी अध्यापक बहुत योग्य और समर्पित हैं।,All the teachers in our school are very capable and dedicated.,general|work,अध्यापक,अध्यापक → टीचर
hi-0436,1,इस विद्यालय की स्थापना उन्नीस सौ पचास में हुई थी।,This school was established in nineteen fifty.,general|work,विद्यालय,विद्यालय → स्कूल
hi-0623,1,दंत चिकित्सक ने दाँत में भराव किया।,The dentist filled a tooth.,general,चिकित्सक,चिकित्सक → डॉक्टर
hi-0753,1,अध्यापक ने कठिन विषय आसानी से समझाया।,The teacher explained the difficult topic easily.,general|travel,अध्यापक,अध्यापक → टीचर
hi-0891,1,सोसाइटी की बैठक में पार्किंग का मुद्दा उठा।,The parking issue was raised in the society meeting.,general|work,बैठक,बैठक → मीटिंग
hi-1153,1,ममता इसलिए नहीं आया क्योंकि बीमार था।,Mamta did not come because she was sick.,family|general,क्योंकि,क्योंकि → क्योंकि
hi-1368,1,यह मेरा सबसे पसंदीदा भारतीय भोजनालय है।,This is my most favorite Indian restaurant.,general|travel,भोजनालय,भोजनालय → रेस्तरां
hi-1373,1,हवाई जहाज़ रेलगाड़ी से तेज़ चलता है।,An airplane goes faster than a train.,general|travel,रेलगाड़ी,रेलगाड़ी → ट्रेन
hi-1543,1,पिताजी हर सप्ताहांत हमें पार्क ले जाते थे।,Father used to take us to the park every weekend.,family|general|travel,सप्ताहांत,सप्ताहांत → वीकेंड
hi-1558,1,भूमिगत सुरंग में रेलगाड़ी दौड़ती है।,The train runs in the underground tunnel.,general|travel,रेलगाड़ी,रेलगाड़ी → ट्रेन
hi-1688,1,रेलगाड़ी पुल के ऊपर से गुज़रती है।,The train passes over the bridge.,general|travel,रेलगाड़ी,रेलगाड़ी → ट्रेन
hi-1700,1,वह पढ़ाई के लिए रोज़ पुस्तकालय जाता है।,He goes to the library every day for studies.,general|travel|work,पुस्तकालय,पुस्तकालय → लाइब्रेरी
hi-1708,1,रात को हल्का भोजन करना स्वास्थ्य के लिए अच्छा है।,Having a light dinner is good for health.,family|general|travel,भोजन करना,भोजन करना → खाना खाना
hi-1876,1,सचिन को बताइए कि बैठक ज़रूरी है।,Tell Sachin the meeting is important.,general|work,बैठक,बैठक → मीटिंग
hi-1994,1,श्यामपट पर अध्यापक ने सूत्र लिखा।,The teacher wrote the formula on the blackboard.,general|work,अध्यापक,अध्यापक → टीचर
hi-2022,1,ममता बिना किसी को बताए बैठक से जल्दी चली गई।,Mamta left the meeting early without telling anyone.,general|travel|work,बैठक,बैठक → मीटिंग
hi-2051,1,राजेश ने एक ही बैठक में तस्वीर पूरी कर दी।,Rajesh completed the painting in a single sitting.,general,बैठक,बैठक → मीटिंग
hi-2132,1,चौराहे पर यातायात का जाम लग गया।,Traffic jam occurred at the intersection.,general,यातायात,यातायात → ट्रैफिक
hi-2180,1,विद्यालय में नई प्रयोगशाला बनाई जा रही है।,A new laboratory is being built in the school.,general|work,विद्यालय,विद्यालय → स्कूल
hi-2289,1,कविता ने पूरी परियोजना अकेले संभाली।,Kavita managed the entire project on her own.,general|work,परियोजना,परियोजना → प्रोजेक्ट
hi-2413,1,जलविद्युत परियोजना से बिजली बनती है।,Electricity is generated from a hydroelectric project.,general|work,परियोजना,परियोजना → प्रोजेक्ट
hi-2461,1,"भले ही शिमला दूर है, फिर भी हम वहाँ ज़रूर जाएँगे क्योंकि वहाँ का प्राकृतिक सौंदर्य अद्भुत है।","Even though Shimla is far, we will definitely go there because its natural beauty is amazing.",general,क्योंकि,क्योंकि → क्योंकि
hi-2548,1,अध्यापक ने पूछा कि होमवर्क किसने किया।,The teacher asked who did the homework.,general|travel|work,अध्यापक,अध्यापक → टीचर
hi-2551,1,सुनीता ने पूछा कि बैठक कितने बजे शुरू होगी।,Sunita asked what time the meeting would start.,general|travel|work,बैठक,बैठक → मीटिंग
hi-2626,1,रेलगाड़ी प्लेटफ़ॉर्म पर सही वक़्त पर आई।,The train arrived at the platform on time.,general|travel,रेलगाड़ी,रेलगाड़ी → ट्रेन
hi-2666,1,बधिर विद्यालय में होंठ पढ़ना सिखाते हैं।,Lip reading is taught at schools for the deaf.,general|work,विद्यालय,विद्यालय → स्कूल
hi-2701,1,यातायात पुलिस ने जुर्माना काटा।,The traffic police imposed a fine.,general,यातायात,यातायात → ट्रैफिक
hi-2742,1,पहलवान ने दंड-बैठक लगाकर कसरत की।,The wrestler exercised by doing push-ups and sit-ups.,general,बैठक,बैठक → मीटिंग
hi-2957,1,छात्रों ने पुस्तकालय में शोध सामग्री खोजी।,The students searched for research material in the library.,general|travel|work,पुस्तकालय,पुस्तकालय → लाइब्रेरी
hi-3134,1,इस परियोजना से जुड़े सभी लोगों को सूचित करो।,Inform all the people related to this project.,general,परियोजना,परियोजना → प्रोजेक्ट
hi-0024,1,इस रास्ते से जाने में कम समय लगता है।,Going by this route takes less time.,general|travel,समय,समय → टाइम
