id,score,target,english,tags,offenders,suggested_replacements
tr-1887,2,İşsizlik oranları düşmekte ve ekonomi büyümektedir.,Unemployment rates are falling and the economy is growing.,family|general|work,düşmekte | büyümektedir,düşmekte → (restructure) | büyümektedir → (restructure)
tr-1974,2,Nüfus artmakta ve kaynaklar azalmaktadır.,The population is increasing and resources are decreasing.,general,artmakta | azalmaktadır,artmakta → (restructure) | azalmaktadır → (restructure)
tr-1978,2,Sorunlar dikkatle incelenmekte ve çözüm aranmaktadır.,Problems are being carefully examined and solutions sought.,general|work,incelenmekte | aranmaktadır,incelenmekte → (restructure) | aranmaktadır → (restructure)
tr-1979,2,Tarım sektörü modernleşmekte ve verimlilik artmaktadır.,The agricultural sector is modernizing and productivity is increasing.,general,modernleşmekte | artmaktadır,modernleşmekte → (restructure) | artmaktadır → (restructure)
tr-2984,2,Müzakeler devam etmekte olup sonuç beklenmektedir.,Negotiations are continuing and a result is expected.,general,etmekte | beklenmektedir,etmekte → (restructure) | beklenmektedir → (restructure)
tr-0278,1,Kütüphanede nadide el yazması eserler bulunmaktadır.,There are rare handwritten works in the library.,general|travel|work,bulunmaktadır,bulunmaktadır → (restructure)
tr-1063,1,Nitekim beklediğimiz gibi sonuç olumsuz çıktı.,"Indeed, as we expected, the result came out negative.",general,nitekim,nitekim → zaten
tr-1580,1,"Bir varmış bir yokmuş, evvel zaman içinde.","Once upon a time, in days of old.",family|general|travel,evvel,evvel → önce
tr-1777,1,Şirketimiz yeni pazarlara açılmaktadır.,Our company is expanding to new markets.,general|work,açılmaktadır,açılmaktadır → (restructure)
tr-1843,1,Hükümet yeni reformlar yapmaktadır.,The government is making new reforms.,general|work,yapmaktadır,yapmaktadır → (restructure)
tr-1844,1,Yeni yasalar mecliste görüşülmektedir.,New laws are being discussed in parliament.,general|work,görüşülmektedir,görüşülmektedir → (restructure)
tr-1896,1,Şehir hızla büyümektedir.,The city is growing rapidly.,family|general|travel,büyümektedir,büyümektedir → (restructure)
tr-1931,1,Altyapı çalışmaları tüm hızıyla sürmektedir.,Infrastructure work is continuing at full speed.,general|work,sürmektedir,sürmektedir → (restructure)
tr-1945,1,Ülkemiz turizm alanında önemli adımlar atmaktadır.,Our country is taking important steps in the field of tourism.,general|travel|work,atmaktadır,atmaktadır → (restructure)
tr-1987,1,Biyologlar yakında nesli tükenmekte olan canlılar için koruma programı başlatacak.,Biologists will soon launch a protection program for endangered species.,general|work,tükenmekte,tükenmekte → (restructure)
tr-2188,1,Hastanenin acil servisindeki yaralıya derhal müdahale edin!,Immediately provide medical aid to the injured person in the hospital's emergency room!,family|general|travel,derhal,derhal → hemen
tr-2246,1,Bu ürün Türkiye'de üretilmektedir.,This product is produced in Turkey.,general,retilmektedir,retilmektedir → (restructure)
tr-2371,1,Nitekim sonunda haklı çıktık.,"As a matter of fact, in the end we were proven right.",general|travel,nitekim,nitekim → zaten
tr-2843,1,Belediye yeni parklar ve yeşil alanlar oluşturmaktadır.,The municipality is creating new parks and green spaces.,general,oluşturmaktadır,oluşturmaktadır → (restructure)
tr-2884,1,Proje planlandığı şekilde ilerlemektedir.,The project is progressing as planned.,general|work,ilerlemektedir,ilerlemektedir → (restructure)
tr-2920,1,Bu gelenek yüzyıllardır devam etmekte olup kültürümüzün önemli bir parçasıdır.,This tradition has been continuing for centuries and is an important part of our culture.,general|work,etmekte,etmekte → (restructure)
tr-2983,1,Öğrenciler sınavlara hazırlanmaktadır.,Students are preparing for exams.,general|work,hazırlanmaktadır,hazırlanmaktadır → (restructure)
tr-3009,1,Türk geleneksel kıyafetlerini diken terziler azalmaktadır.,Tailors who sew traditional Turkish clothing are decreasing in number.,general|work,azalmaktadır,azalmaktadır → (restructure)
tr-1890,1,Buzul erimeseydi kutup ayısının yaşam alanı daralmazdı.,"If the glacier hadn't melted, the polar bear's habitat wouldn't have shrunk.",general,yaşam,yaşam → hayat
tr-2161,1,Ne olursa olsun endemik türlerin yaşam alanlarını korumamız şarttır.,"No matter what, it is essential that we protect the habitats of endemic species.",general,yaşam,yaşam → hayat
tr-2319,1,Doğada vakit geçirmek stresi azaltır ve zihni dinlendirir.,Spending time in nature reduces stress and relaxes the mind.,general|travel,vakit,vakit → zaman
tr-2995,1,Çocuklar bahçede top oynayarak vakit geçirdi.,The children spent time playing ball in the garden.,family|general|travel|work,vakit,vakit → zaman
