id,score,target,english,tags,offenders,suggested_replacements
ru-2348,2,"Либо мы идём сейчас, либо не идём вообще.",Either we go now or we don't go at all.,general,либо | либо,либо → или | либо → или
ru-2383,1,"Он ушёл, поскольку ему стало скучно.",He left since he got bored.,general|travel,поскольку,поскольку → потому что
ru-2424,1,В связи с праздником магазин закрыт.,Due to the holiday the store is closed.,general|travel,в связи с,в связи с → из-за
ru-2431,1,"Я согласен, при условии что ты поможешь.","I agree, on the condition that you help.",general,при условии что,при условии что → если
ru-2806,1,Проверьте электронную почту на наличие новых писем.,Check your email for new messages.,general|work,наличие,наличие → (rephrase with есть)
ru-0091,1,Читающий мальчик сидит у окна.,The reading boy is sitting by the window.,family|general|work,Читающий,Читающий → (restructure)
ru-0795,1,В течение года он выучил язык.,During the year he learned the language.,general|travel|work,в течение,в течение → за
ru-1677,1,Стоматолог посоветовал ежедневно пользоваться зубной нитью.,The dentist advised using dental floss daily.,general,ежедневно,ежедневно → каждый день
ru-1686,1,Водолаз исследовал затонувший корабль на морском дне.,The diver explored the sunken ship on the seabed.,general|travel,затонувший,затонувший → (restructure)
ru-2077,1,"Для того чтобы успеть, нужно встать рано.","In order to make it, you need to get up early.",general|travel,для того чтобы,для того чтобы → чтобы
ru-2144,1,Реставратор обновил потускневшую потолочную фреску собора.,The restorer restored the faded ceiling fresco of the cathedral.,general|travel,потускневшую,потускневшую → (restructure)
ru-2482,1,Играющие во дворе дети шумели до самого вечера.,The children playing in the yard were noisy until evening.,family|general|travel,Играющие,Играющие → (restructure)
ru-2499,1,"Согласно плану, мы начнём завтра.","According to the plan, we will start tomorrow.",general|travel|work,согласно,согласно → по
ru-2523,1,"Тем не менее, мы продолжили.","Nevertheless, we continued.",general,тем не менее,тем не менее → всё равно
ru-2560,1,В течение дня он работал.,During the day he worked.,general|work,в течение,в течение → за
ru-2624,1,"Плотно позавтракав, семья отправилась в путь на дачу.","Having eaten a hearty breakfast, the family set off on their journey to the dacha.",family|general|travel,"позавтракав,","позавтракав, → (restructure)"
ru-2640,1,Падающий снег красивый.,The falling snow is beautiful.,general|travel,Падающий,Падающий → (restructure)
ru-2656,1,Скучающий ребёнок хочет играть.,The bored child wants to play.,family|general,Скучающий,Скучающий → (restructure)
ru-2682,1,Сидящий на скамейке старик читает газету.,The old man sitting on the bench is reading a newspaper.,family|general|work,Сидящий,Сидящий → (restructure)
ru-2687,1,Бегущая по улице собака напугала маленького ребёнка.,The dog running down the street scared the little child.,family|general|travel,Бегущая,Бегущая → (restructure)
ru-2695,1,Читающий газету дедушка сидел на скамейке в парке.,The grandfather reading the newspaper was sitting on a bench in the park.,family|general|travel|work,Читающий,Читающий → (restructure)
ru-2731,1,"Выбранный ресторан оказался лучшим из всех, что мы когда-либо посещали.",The chosen restaurant turned out to be the best we had ever visited.,general|travel,либо,либо → или
ru-2751,1,Растущий город нуждается в школах.,The growing city needs schools.,family|general|travel,Растущий,Растущий → (restructure)
ru-2760,1,"Позавтракав, дети пошли в школу.","Having had breakfast, the children went to school.",family|general|travel|work,"Позавтракав,","Позавтракав, → (restructure)"
ru-2795,1,Висящая на стене картина красивая.,The painting hanging on the wall is beautiful.,family|general,Висящая,Висящая → (restructure)
ru-2813,1,Спящий на диване кот не слышал звонок двери.,The cat sleeping on the couch didn't hear the doorbell.,family|general,Спящий,Спящий → (restructure)
ru-2815,1,Поющая в хоре девушка выступит на концерте завтра.,The girl singing in the choir will perform at the concert tomorrow.,family|general|travel,Поющая,Поющая → (restructure)
ru-2831,1,Опавшие листья шуршат.,The fallen leaves rustle.,general,Опавшие,Опавшие → (restructure)
ru-2832,1,"Встретившись, друзья обнялись.","Having met, friends hugged.",family|general,"Встретившись,","Встретившись, → (restructure)"
